Census Tracts,Census Tracts-full,COR Registered Rental Units,Census Estimated Units,Difference_Units,MTFCC10,FUNCSTAT10,INTPTLAT10,INTPTLON10,NAME10,ALAND10,AWATER10,STATEFP10,COUNTYFP10,OBJECTID,SHAPEAREA,SHAPELEN
50700,37183050700,614,910,-296,G5020,S,35.7739244,-78.6207333,507,1924150,0,37,183,114,20707763.72,25937.66663
54013,37183054013,593,973,-380,G5020,S,35.9150285,-78.5619735,540.13,12294337,20698,37,183,7,132541531.4,51750.63942
52506,37183052506,548,307,241,G5020,S,35.8545202,-78.6899932,525.06,2895861,0,37,183,147,31166182.99,23898.68978
54104,37183054104,546,623,-77,G5020,S,35.8507971,-78.5457709,541.04,11645893,0,37,183,66,125336674.6,62583.50375
54105,37183054105,546,916,-370,G5020,S,35.8163223,-78.5507335,541.05,11143310,121644,37,183,70,121235263.2,50810.44591
52707,37183052707,543,883,-340,G5020,S,35.8171384,-78.5739005,527.07,6060681,9177,37,183,133,65324846.85,43012.50642
52102,37183052102,536,803,-267,G5020,S,35.7507849,-78.598695,521.02,4316427,2896,37,183,54,46484387.27,38680.12257
54208,37183054208,534,635,-101,G5020,S,35.9390248,-78.5323529,542.08,17857604,47935,37,183,8,192711578.3,79844.63639
54007,37183054007,505,523,-18,G5020,S,35.8878259,-78.6382784,540.07,3379114,0,37,183,99,36367523.4,27590.54647
52507,37183052507,492,580,-88,G5020,S,35.8493407,-78.7028658,525.07,2684496,11513,37,183,144,29015223.73,30061.46381
54207,37183054207,491,1089,-598,G5020,S,35.9569618,-78.556347,542.07,8622687,34801,37,183,13,93178466.73,48527.37447
